,"Access to electricity, rural (% of rural population)",Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),"Agricultural machinery, tractors","Agricultural machinery, tractors per 100 sq. km of arable land",Agricultural methane emissions (% of total),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (% of total),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (current US$)","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",Arable land (% of land area),Arable land (hectares per person),Arable land (hectares),Average precipitation in depth (mm per year),Cereal production (metric tons),Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Food production index (2014-2016 = 100),Forest area (% of land area),Forest area (sq. km),Land area (sq. km),Land under cereal production (hectares),Livestock production index (2014-2016 = 100),Permanent cropland (% of land area),Rural land area (sq. km),Rural land area where elevation is below 5 meters (% of total land area),Rural land area where elevation is below 5 meters (sq. km),Rural population,Rural population (% of total population),Rural population growth (annual %),Rural population living in areas where elevation is below 5 meters (% of total population),Surface area (sq. km)
1273,,,,,,,,,,,0.976153506,0.570036149,1.591676567,465573742.9,,,,,,61320.0,2494.7,85.49,2.374616877,0.868005764,3.623551654,,,108.71,,,,24580.0,121.57,,,,,414105.0,33.089,0.418886029,,
1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,100.0,,55.41607351,42820.0,79304.0,243.5626536,24.73253619,3927.6175,60.4519774,3226.744,2.572358183,2.057185843,3.217600843,2097011212.0,0.68688779,42.13795781,0.316612634,3256000.0,677.0,6940576.22,4346.6,97.12,5.253425446,3.819901058,6.353769952,93.27724679,82.57585995,112.53,34.12065485,26365.03,77270.0,1596798.0,132.47,0.983564126,,,,2661463.0,25.88,0.405297006,,78870.0
1276,100.0,,55.39019024,42800.0,96716.0,298.2300339,24.76697736,3720.4475,62.43194192,3457.545,2.410288228,2.072817489,3.250528331,2009742068.0,0.624848483,41.96971658,0.31623404,3243000.0,677.0,6467637.0,3906.0,91.4,4.976464261,3.607164277,6.02738133,100.7785646,101.9805735,106.97,34.13083991,26372.9,77270.0,1655815.0,127.14,0.983564126,74278.11336,0.0,0.0,2667547.0,26.012,0.228335193,0.0,78870.0
1277,100.0,,55.36430698,42780.0,94778.0,292.8862794,25.01694915,3689.54,64.50511945,3797.5034,2.026074124,1.876807825,3.203527086,2172248703.0,0.530367185,41.87912515,0.316739269,3236000.0,677.0,7353491.0,4508.6,95.34,4.712432199,3.416924024,5.706111723,119.9872327,121.9765142,109.71,34.15683965,26392.99,77270.0,1631003.0,128.32,0.983564126,,,,2668884.0,26.123,0.050108397,,78870.0
1278,100.0,,47.26362107,36520.6,94440.0,292.4744503,24.73572939,3508.0775,59.91820041,2949.5742,2.201116272,1.998157015,2.659586723,2186073931.0,0.980083857,35.97372848,0.272601049,2779690.0,677.0,6784829.0,4324.0,80.02,4.45431467,3.250340632,5.37170596,174.4183624,94.88180337,99.15,34.18283939,26413.08,77270.0,1569116.0,123.95,0.433803546,,,,2670674.0,26.191,0.067046751,,78870.0
1279,100.0,0.460688798,47.47534619,36684.2,91648.0,284.3561899,24.11347518,3401.2475,60.04016064,3001.3964,1.921886812,1.782336301,2.440027314,2442234748.0,0.968274149,35.70958975,0.270676922,2759280.0,677.0,5780887.0,3940.8,67.22,4.205030025,3.080353617,5.058541528,130.9266066,106.9641356,90.94,34.20883914,26433.17,77270.0,1466926.0,121.7,0.441309693,,,,2676944.0,26.26,0.234497037,,78870.0
1280,100.0,,47.00220036,36313.9,89350.0,277.829602,23.97660819,3275.4925,58.84615385,3071.0986,1.553661494,1.576506183,2.415394613,2893991393.0,1.098094901,35.34157391,0.267771203,2730490.0,677.0,8803796.42,5443.6,98.55,3.984503757,2.915429981,4.800598822,127.6761152,102.4790422,107.84,34.23927,26453.26,77260.0,1617273.0,119.88,0.553844163,,,,2684795.0,26.329,0.292852957,,78870.0
1281,100.0,0.47150318,46.66696868,36054.9,87039.0,271.2340293,22.77580071,3200.315,58.47953216,3018.8294,1.439774096,1.531046504,2.284635292,3133228147.0,1.234647934,35.10768833,0.265631439,2712420.0,677.0,7677321.21,4741.6,88.95,3.754164575,2.741297497,4.520695091,153.1873602,105.9504059,101.04,34.2652731,26473.35,77260.0,1619151.0,116.73,0.522003624,,,,2695557.0,26.398,0.400048709,,78870.0
1282,100.0,,46.16116505,35659.5,85426.0,266.7895066,21.98879552,3140.89,59.2,2977.5564,1.334375802,1.379931689,2.164955432,3383048027.0,1.378470874,34.14161812,0.257590045,2637440.0,677.0,6402586.1,4159.0,77.67,3.54449839,2.582667786,4.27377283,147.6155798,114.4534094,93.28,34.29571521,26493.44,77250.0,1539462.0,113.52,0.506407767,,,,2709931.0,26.467,0.531831127,,78870.0
1283,100.0,0.556065282,46.5592233,35967.0,83813.0,262.3255086,22.84887925,3162.6625,61.63021869,3114.547,1.317584658,1.316790735,2.088905575,3972760019.0,1.513458608,33.9971521,0.255007657,2626280.0,677.0,7157365.5,4522.0,85.42,3.354499086,2.435638203,4.04529221,139.2388195,121.86134,99.83,34.32172168,26513.53,77250.0,1582788.0,118.53,0.495533981,,,,2733000.0,26.537,0.847673363,,78870.0
1284,100.0,0.279985777,46.24041947,35716.1,,,22.48563218,3133.595,61.74089069,3066.4498,1.224022505,1.284464842,1.919927972,4546705952.0,1.741214008,33.66442258,0.25039378,2600240.0,677.0,8374003.46,5362.8,95.01,3.174278391,2.304010375,3.825299841,164.7516567,106.9893548,101.51,34.35217504,26533.62,77240.0,1561492.0,109.92,0.496116002,,,,2762927.0,26.606,1.089071809,,78870.0
1285,100.0,0.310220059,45.90717245,35458.7,,,,3006.5425,,2992.1882,1.361746664,1.252818708,1.756787513,3644179825.0,2.163245974,33.42672191,0.247213311,2581880.0,677.0,7836374.51,5073.9,91.44,3.116932039,2.22072393,3.789520209,120.5759291,109.0228826,96.86,34.37818488,26553.71,77240.0,1544454.0,103.88,0.502589332,,,,2786024.0,26.676,0.832486479,,78870.0
1286,100.0,0.539172285,45.62890069,35239.2,,,,2947.6025,,2994.1252,1.41098466,1.369771043,1.540596113,3220923383.0,2.022474816,32.9914541,0.243252842,2547930.0,677.0,6882070.3,4695.8,80.83,3.096179984,1.917551085,3.976735664,140.2402043,119.2838893,88.97,34.40864949,26573.8,77230.0,1465570.0,99.55,0.516509129,,,,2801381.0,26.745,0.549702006,,78870.0
1287,100.0,0.57076974,45.37148776,35040.4,,,,2919.4825,,3107.6334,1.424795217,1.514566989,1.982510992,4551106423.0,2.207174816,32.65065389,0.240242841,2521610.0,677.0,8289281.9,5592.6,94.38,2.989132164,1.874603212,3.829773599,183.7391457,126.1987381,96.0,34.43716172,26595.82,77230.0,1482187.0,98.13,0.526997281,,,,2814526.0,26.815,0.468135388,,78870.0
1288,100.0,0.56723267,45.65440891,35258.9,,,,2908.515,,3550.8786,1.456607501,1.50209098,2.251185645,4701774997.0,2.346550788,32.61426907,0.23963957,2518800.0,677.0,6600024.27,4529.5,79.85,3.050225676,1.927126273,3.903760839,151.3751155,160.0123074,85.84,34.46567396,26617.84,77230.0,1457126.0,93.63,0.509517027,,,,2817206.0,26.803,0.095174991,,78870.0
1289,100.0,0.511218404,45.5969956,35210.0,,,,2915.8025,,3580.0528,1.513126073,1.460876104,2.364771166,5005880424.0,2.666666667,32.38798239,0.237867158,2501000.0,677.0,7516943.8,5309.3,91.06,3.03035216,2.067583352,3.768948238,248.3938802,161.4830068,93.01,34.4986532,26639.86,77220.0,1415798.0,95.57,0.595700596,,,,2808362.0,26.71,-0.314421843,,78870.0
1290,100.0,0.511945392,45.53224553,35160.0,,,,2952.5125,,3644.4506,1.388049429,1.360321222,2.413452542,5052776105.0,2.940106693,32.23258223,0.236476764,2489000.0,677.0,8783608.2,6219.8,104.2,2.748535765,1.636946241,3.59958157,339.7900498,162.6572921,101.46,34.52716913,26661.88,77220.0,1412209.0,97.9,0.595700596,,,,2801426.0,26.616,-0.247282198,,78870.0
1291,100.0,0.515168861,45.25320554,34940.0,,,,2996.405,,4055.8992,1.320555635,1.280310373,2.211213873,4157812897.0,3.3875,32.24970859,0.236107156,2490000.0,677.0,8187773.98,5880.6,94.61,2.925511508,1.636421765,3.926475735,275.359932,192.3136546,97.07,34.5601606,26683.9,77210.0,1392345.0,100.26,0.595777749,73926.22029,0.0,0.0,2797131.0,26.523,-0.153432423,0.0,78870.0
1292,100.0,0.716743119,45.1754954,34880.0,,,,3016.2075,,4121.5188,1.30375274,1.242632359,2.087047124,4096290563.0,2.896341463,32.26266028,0.235748792,2491000.0,677.0,8600552.1,6317.0,101.19,2.901494765,1.71956469,3.829801468,294.5233838,196.3833802,101.47,34.57907007,26698.5,77210.0,1361498.0,101.84,0.621681129,,,,2792682.0,26.43,-0.159182461,,78870.0
1293,100.0,0.710025561,45.60290118,35210.0,,,,3009.4925,,3810.2578,1.289777071,1.182366658,2.057606888,4498524148.0,2.858895706,32.32741873,0.235595319,2496000.0,677.0,7460864.15,5497.5,90.19,2.802954592,1.787749095,3.604573276,312.956344,182.4206731,94.94,34.60251263,26716.6,77210.0,1357136.0,101.11,0.608729439,,,,2788986.0,26.325,-0.13243355,,78870.0
1294,100.0,0.709622481,45.62880456,35230.0,,,,2916.1175,,3672.5818,1.289814452,1.152979559,1.93625259,4821279419.0,3.144654088,32.17199845,0.233679852,2484000.0,677.0,6970920.0,5206.9,87.42,2.802190317,1.76445612,3.628226557,287.008586,174.3607085,92.9,34.62595519,26734.7,77210.0,1338780.0,99.92,0.63463282,,,,2785892.0,26.208,-0.110997956,,78870.0
1295,100.0,0.709489766,45.63999974,35236.59,,,,2921.355,,3589.559,1.309468202,1.065541167,1.860848437,4699538859.0,2.855245684,32.17998718,0.232805684,2484472.0,677.0,7646150.0,5653.2,87.1,2.663764467,1.738933483,3.401214604,363.7620034,165.6915433,92.92,34.65141732,26752.8,77205.5,1352540.0,100.39,0.61327237,,,,2783117.0,26.079,-0.099658673,,78870.04
1296,100.0,0.624313433,45.64686659,35238.71,,,,2873.465,,3311.4356,1.284909729,0.940152271,1.960613621,4822610700.0,2.855051245,32.17877335,0.232210411,2484154.0,677.0,8126660.0,6042.7,92.93,2.610027699,1.602118868,3.405665687,475.4608575,144.2165019,96.91,34.67799193,26770.9,77198.53,1344870.0,101.98,0.649092671,,,,2774917.0,25.939,-0.295068578,,78871.01
1297,100.0,0.623803579,45.73056051,35297.97,,,,,,,1.585050816,1.031399731,1.845362946,5200070732.0,,32.06939578,0.235616669,2475335.0,,8227120.0,6113.0,92.26,2.547561294,1.50893673,3.367675723,253.7016358,148.6243276,97.45,34.70669802,26789.0,77186.83,1345840.0,104.08,0.634007123,,,,2709018.0,25.786,-2.403462924,,78871.04
1298,,,,,,,,,,,1.457286609,1.028396095,1.901663567,5525581196.0,,,,,,8218420.0,5929.6,93.98,2.530306691,1.593525598,3.275713252,,,97.66,,,,1386000.0,102.33,,,,,2734517.0,25.623,0.936861304,,
1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,100.0,,66.1,26440.0,129377.0,563.9799477,74.71395881,6531.965,73.46938776,4863.5388,2.608336961,2.82310216,1.940990842,3454288008.0,30.40584759,57.35,0.431057242,2294000.0,703.0,8774275.0,5862.1,89.37,3.321635022,1.456329666,4.921782025,168.9189189,163.4699215,96.68,14.1896,5675.84,40000.0,1496784.0,100.37,0.2,,,,793693.0,14.914,0.156732433,,42920.0
1301,100.0,,66.175,26470.0,123221.0,540.20605,75.72254335,6552.06,72.99843014,4831.8018,2.518601442,2.666669812,2.151853226,3532455122.0,25.92053721,57.025,0.427184277,2281000.0,703.0,9412662.0,6216.0,91.72,3.668205801,1.969136371,5.151671538,225.1612903,153.0030688,97.17,14.29,5716.0,40000.0,1514258.0,99.92,0.2,40497.34822,12.57855046,5358.602562,795603.0,14.9,0.240358111,4.306904636,42920.0
1302,100.0,7.623318386,66.9,26760.0,121255.0,529.0357766,75.70303712,6726.7075,73.99030695,4759.8348,2.576965935,2.634783023,2.339509415,3855311314.0,25.35959126,57.3,0.427709053,2292000.0,703.0,9423086.0,6126.6,89.27,3.548287634,1.707545445,5.140298552,199.1406452,134.6719023,97.93,14.327225,5730.89,40000.0,1538062.0,102.3,0.2,,,,795779.0,14.85,0.022119139,,42920.0
1303,100.0,7.65478424,66.625,26650.0,119290.0,524.1212654,76.15740741,6576.25,73.87687188,4620.9072,2.862241666,2.560277858,1.781116432,3181700255.0,24.73424165,56.9,0.423368529,2276000.0,703.0,8803709.0,5761.8,84.99,3.212889552,1.632229088,4.599878927,223.6252049,128.8743409,97.49,14.36445,5745.78,40000.0,1527934.0,103.81,0.175,,,,792950.0,14.75,-0.356134116,,42920.0
1304,100.0,7.580887886,66.45,26580.0,117325.0,517.7625772,75.78947368,6483.2225,72.59380098,4629.132,2.830725974,2.753165854,1.610785803,3513059945.0,25.62046005,56.65,0.420363397,2266000.0,703.0,9050937.0,6096.6,88.22,3.294945441,1.765303419,4.612774998,191.5562924,138.180053,98.58,14.401675,5760.67,40000.0,1484586.0,103.81,0.2,,,,789180.0,14.64,-0.476573624,,42920.0
1305,100.0,7.709750567,66.15,26460.0,115360.0,508.4178052,76.5625,6366.665,78.59778598,4443.2992,2.753624788,2.480515746,1.622526497,4078593580.0,28.99172088,56.725,0.419833536,2269000.0,703.0,8963200.0,6013.1,90.77,3.271711983,1.866864023,4.49373968,327.5758573,144.7844866,100.01,14.4389,5775.56,40000.0,1490600.0,104.68,0.175,,,,780089.0,14.434,-1.158641597,,42920.0
1306,100.0,9.678611008,67.675,27070.0,113402.0,486.2864494,77.02702703,6271.865,80.03766478,4430.3958,2.551276996,2.260968039,1.145643591,3029853091.0,27.13575645,58.3,0.430303397,2332000.0,703.0,9283000.0,6153.4,90.11,3.18252189,1.607923629,4.556808905,,137.1170669,98.74,14.476125,5790.45,40000.0,1508600.0,103.1,0.175,,,,766524.0,14.144,-1.754200676,,42920.0
1307,100.0,9.667896679,67.75,27100.0,,,76.68329177,6153.715,81.0707457,4419.2506,2.751720462,2.318132336,1.165189899,3296146835.0,33.77369328,58.675,0.431650283,2347000.0,703.0,8632300.0,5778.4,84.65,3.088313355,1.465152985,4.51112129,,138.5811674,95.49,14.51335,5805.34,40000.0,1493900.0,100.96,0.15,,,,755890.0,13.902,-1.397014603,,42920.0
1308,100.0,9.538114908,66.575,26630.0,,,77.95765878,6263.545,82.11538462,4448.8122,2.386742516,2.332384587,1.174415576,3751358451.0,20.58514366,57.65,0.422233119,2306000.0,703.0,8220200.0,5675.8,85.85,2.963833579,1.572752594,4.185146134,,142.4119688,97.19,14.550575,5820.23,40000.0,1448300.0,102.91,0.175,,,,748599.0,13.707,-0.96924033,,42920.0
1309,100.0,9.52023988,66.7,26680.0,,,78.07692308,6090.5275,84.29118774,4581.452,2.333237731,1.950007533,0.857790957,3031099037.0,35.48293391,60.05,0.437234385,2402000.0,703.0,9105500.0,6017.4,93.03,2.705848847,1.229286462,3.994496129,,147.6761032,98.0,14.5878,5835.12,40000.0,1513200.0,100.51,0.125,,,,742353.0,13.513,-0.837858836,,42920.0
1310,100.0,9.643128322,65.85,26340.0,,,,5986.865,,4423.0054,2.484929882,2.127855518,0.833588856,2677831707.0,35.25057826,60.775,0.440151763,2431000.0,703.0,10163800.0,6779.0,100.47,2.759312538,1.220659602,4.148061137,,102.9181407,98.1,14.625025,5850.01,40000.0,1499300.0,96.91,0.15,,,,737112.0,13.346,-0.70850232,,42920.0
1311,100.0,12.14775324,65.65,26260.0,,,,6217.0925,,4382.686,2.927300572,2.392023774,1.20190857,3870088859.0,33.60244989,60.525,0.436398403,2421000.0,703.0,8863200.0,5875.9,89.12,2.543750124,0.925839054,4.011778012,,113.7121024,97.02,14.66225,5864.9,40000.0,1508400.0,101.0,0.125,,,,732572.0,13.205,-0.61782185,,42920.0
1312,100.0,,67.25,26900.0,,,,6156.3775,,4381.8218,2.967938582,2.478558023,1.31213399,4513782095.0,32.82237461,62.475,0.448607432,2499000.0,703.0,8809200.0,5886.5,90.77,2.394497192,0.859892817,3.768900331,,112.8487395,98.67,14.8532,5941.28,40000.0,1496500.0,102.65,0.1,,,,726570.0,13.043,-0.822679883,,42920.0
1313,100.0,,65.6,26240.0,,,,6144.815,,4442.1966,3.263391085,2.295377052,1.65472753,5413423639.0,26.03773585,60.45,0.432436531,2418000.0,703.0,9485400.0,6309.7,93.69,2.637185052,1.072010982,4.04491807,,107.1133168,98.74,15.04415,6017.66,40000.0,1503300.0,101.28,0.15,,,,718964.0,12.858,-1.052354382,,42920.0
1314,100.0,9.208523592,65.7,26280.0,,,,6093.825,,4330.9234,3.5749925,2.555204444,1.302127587,4473907148.0,40.09322136,60.19,0.428785246,2407600.0,703.0,9119687.0,6316.6,93.84,2.593585961,1.005813814,4.02483613,,116.6227779,97.3,15.2351,6094.04,40000.0,1443760.0,99.05,0.635,,,,713546.0,12.708,-0.756438117,,42920.0
1315,100.0,,66.315775,26526.31,,,,6024.7725,,4521.8818,2.729747012,2.713145228,1.382462598,4880004930.0,43.31603253,60.8,0.430940157,2432000.0,703.0,9796378.0,6752.1,101.12,2.480230333,0.870019805,3.91226229,,123.5657895,99.93,15.42605,6170.42,40000.0,1450871.0,99.34,0.690775,,,,710514.0,12.59,-0.425825398,,42920.0
1316,100.0,5.543113081,65.847475,26338.99,,,,6044.565,,4673.3254,3.12423363,2.826453255,0.957580201,2898337401.0,47.74575018,58.791275,0.413769338,2351651.0,703.0,10047500.0,6884.7,103.9,2.491570816,1.000332945,3.801106182,,136.88043,101.24,15.617,6246.8,40000.0,1459400.0,99.89,0.6812,40365.627,12.56856252,5354.347591,708958.0,12.474,-0.219236536,3.922854464,42920.0
1317,100.0,8.304445545,65.6275,26251.0,,,,6056.3175,,4714.8368,2.827297878,2.616596022,0.961160974,3009548116.0,52.06872643,59.2625,0.413843551,2370500.0,703.0,9154326.0,6222.0,94.98,2.33418138,0.912675031,3.599433536,,139.1419911,98.83,15.6165,6246.6,40000.0,1471275.0,100.77,0.725,,,,707867.0,12.358,-0.154006347,,42920.0
1318,100.0,8.20887014,65.7825,26313.0,,,,6011.8675,,4741.2396,2.944484503,2.607325823,1.30480036,4333516836.0,53.33010344,59.185,0.410651902,2367400.0,703.0,10027261.0,6916.5,107.11,2.110607532,0.935525559,3.159019523,,163.16644,102.11,15.64,6256.0,40000.0,1449769.0,99.58,0.725,,,,705807.0,12.243,-0.291439392,,42920.0
1319,100.0,8.698955366,65.8125,26325.0,,,,6041.1825,,4473.1886,2.719514395,2.6133823,1.026569351,3663222560.0,59.62460335,59.71,0.412245436,2388400.0,703.0,6923900.0,4888.8,75.83,2.191685443,0.955004508,3.289033503,,134.8361497,92.87,15.664,6265.6,40000.0,1416280.0,101.46,0.775,,,,702536.0,12.126,-0.464518357,,42920.0
1320,100.0,11.65285904,65.649125,26259.65,,,,6005.7175,,4647.4292,2.538535347,2.477894269,1.266288876,4387674974.0,53.57574181,59.8983,0.412067098,2395932.0,703.0,9517830.0,6928.9,103.74,2.222975426,1.100075373,3.215147366,,136.0828521,100.59,15.6875,6275.0,40000.0,1373650.0,98.98,0.58365,,,,698080.0,12.006,-0.636293607,,42920.0
1321,100.0,9.007678282,65.499675,26199.87,,,,6134.7325,,4740.1072,2.312944332,2.424489953,1.381903383,4902478420.0,54.00653401,59.27325,0.406579616,2370930.0,703.0,9467690.0,6926.3,103.05,2.114526025,0.982915268,3.114797482,,144.9817666,102.64,15.711,6284.4,40000.0,1366920.0,102.43,0.6663,,,,693004.0,11.884,-0.72979382,,42920.0
1322,100.0,9.014514897,65.45,26180.0,,,,,,,2.277098558,2.42260779,1.088994751,4417921013.0,,58.925,0.402442795,2357000.0,,8640070.0,6355.0,96.3,2.039455175,0.919510969,3.028621125,,132.6216292,102.97,15.7345,6293.8,40000.0,1359580.0,106.32,0.675,,,,688752.0,11.76,-0.61545069,,42920.0
1323,,,,,,,,,,,1.835757672,2.097490918,1.172889943,4693520807.0,,,,,,9464200.0,7241.4,107.01,2.118090002,1.065405511,3.065464529,,,103.83,,,,1306950.0,102.21,,,,,686700.0,11.633,-0.298374865,,
1324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,58.18762778,,66.93701467,15516.0,8.0,80.0,74.19354839,458.915,92.30769231,244.8964,,,,,17.88321168,0.043140638,0.001390103,1000.0,220.0,10.62,1769.4,71.66,2.445862336,3.010570026,2.317694833,,,100.08,0.241587575,56.0,23180.0,6.0,109.96,0.025884383,,,,169160.0,23.515,3.262628295,,23200.0
1326,54.03739286,,69.09404659,16016.0,8.0,80.0,73.01587302,459.5175,92.30769231,244.8666,,,,,15.78947368,0.043140638,0.001347649,1000.0,220.0,11.0,1833.3,73.62,2.397257368,2.854959086,2.290771017,,,113.84,0.241587575,56.0,23180.0,6.0,127.82,0.025884383,21585.72613,0.72615299,157.016243,174140.0,23.468,2.90145608,2.905821061,23200.0
1327,52.47708363,,72.54529767,16816.0,8.0,80.0,71.875,460.345,96.15384615,245.3136,,,,,15.78947368,0.043140638,0.001306353,1000.0,220.0,12.0,1714.3,75.87,2.346038656,2.720591396,2.257979745,,,114.95,0.241587575,56.0,23180.0,7.0,128.54,0.025884383,,,,179293.0,23.422,2.916176573,,23200.0
1328,26.09921287,,73.40811044,17016.0,8.0,80.0,71.875,460.425,96.15384615,245.3732,,,,,15.78947368,0.043140638,0.00126722,1000.0,220.0,10.0,1666.7,78.69,2.269034769,2.525190212,2.207889105,,12.7,115.72,0.241587575,56.0,23180.0,6.0,128.6,0.025884383,,,,184467.0,23.376,2.844924656,,23200.0
1329,49.24773617,,73.4124245,17017.0,8.0,80.0,71.875,461.8025,96.15384615,245.4626,,,,,15.78947368,0.043140638,0.001240062,1000.0,220.0,10.0,1666.7,74.13,2.20150703,2.371416108,2.160115155,,11.16,114.62,0.241587575,56.0,23180.0,6.0,128.7,0.030198447,,,,188136.0,23.33,1.969451986,,23200.0
1330,47.59278008,,73.4124245,17017.0,6.0,60.0,72.30769231,466.2675,96.15384615,247.191,,,,,15.78947368,0.043140638,0.001221937,1000.0,220.0,9.95,1658.7,77.61,2.147062219,2.264471752,2.117846024,,11.01,98.6,0.241587575,56.0,23180.0,6.0,105.91,0.030198447,,,,190550.0,23.284,1.274952177,,23200.0
1331,45.92102097,,73.4124245,17017.0,6.0,60.0,71.21212121,466.84,96.15384615,247.5188,,,,,15.78947368,0.043140638,0.001203571,1000.0,220.0,9.0,1500.0,78.32,2.10204035,2.194451763,2.079553918,,11.51,110.31,0.241587575,56.0,23180.0,6.0,121.43,0.030198447,,,,193084.0,23.239,1.321070006,,23200.0
1332,32.64958103,,73.4253667,17020.0,6.0,46.15384615,70.76923077,459.5125,92.30769231,244.7474,,,,,15.78947368,0.05608283,0.001534925,1300.0,220.0,10.0,1666.7,74.6,2.027949984,2.058653568,2.019876647,,12.3,88.46,0.241587575,56.0,23180.0,6.0,93.29,0.030198447,,,,196432.0,23.193,1.719098806,,23200.0
1333,42.55109542,,73.43399482,17022.0,,,69.6969697,460.2675,96.15384615,245.1646,,,,,15.78947368,0.064710958,0.001733711,1500.0,220.0,10.96,1738.2,79.87,1.960019144,1.941513208,1.965043017,,13.41333333,115.22,0.241587575,56.0,23180.0,6.0,127.51,0.030198447,,,,200267.0,23.147,1.933516079,,23200.0
1334,40.86402618,,73.42105263,17019.0,,,69.6969697,460.2725,96.15384615,245.1646,,,,,15.78947368,0.051768766,0.001359179,1200.0,220.0,12.12,1780.6,83.02,1.884433911,1.817642991,1.904135965,,14.0,116.87,0.241587575,56.0,23180.0,7.0,128.65,0.030198447,,,,203955.0,23.101,1.824790505,,23200.0
1335,39.18310253,,73.4253667,17020.0,,,,461.7175,,245.4626,0.009550845,0.647726771,,,15.78947368,0.05608283,0.001442676,1300.0,220.0,13.12,1816.7,86.33,1.831608782,1.708345219,1.867330443,,13.45384615,117.81,0.241587575,56.0,23180.0,7.0,128.75,0.030198447,,,,207758.0,23.056,1.847455954,,23200.0
1336,37.50083371,,73.43830889,17023.0,,,,461.7225,,245.4328,,,,,15.78947368,0.069025022,0.001740646,1600.0,220.0,14.06,1848.3,87.23,1.782199026,1.639494134,1.825707268,,15.35,118.04,0.241587575,56.0,23180.0,8.0,128.76,0.030198447,,,,211425.0,23.001,1.749638485,,23200.0
1337,35.81883585,,73.45987921,17028.0,,,,461.465,,245.2838,,,,,15.78947368,0.086281277,0.002134902,2000.0,220.0,14.97,1879.3,91.4,1.704081982,1.527009533,1.7578509,,16.07,119.69,0.241587575,56.0,23180.0,8.0,129.52,0.034512511,,,,214867.0,22.936,1.614890639,,23200.0
1338,22.06686641,,73.45987921,17028.0,,,,465.06,,247.042,,,,,15.78947368,0.086281277,0.002095784,2000.0,220.0,16.0,2000.0,102.96,1.637159846,1.419889817,1.70330585,,17.87,123.38,0.241587575,56.0,23180.0,8.0,130.49,0.034512511,,,,218171.0,22.862,1.525992691,,23200.0
1339,32.4658366,,73.45987921,17028.0,,,,465.06,,247.042,,,1.194871772,24409045.64,15.78947368,0.086281277,0.002058136,2000.0,220.0,16.0,2000.0,97.84,1.577454455,1.335021608,1.65316965,,17.7,121.62,0.241587575,56.0,23180.0,8.0,129.9,0.034512511,,,,221346.0,22.778,1.444792911,,23200.0
1340,30.79895816,,73.45987921,17028.0,,,,466.8675,,248.0254,,,1.227403863,27183056.59,15.78947368,0.086281277,0.002022067,2000.0,220.0,16.46,1986.4,98.53,1.511031298,1.249966614,1.592700755,,19.05,102.73,0.241587575,56.0,23180.0,8.0,104.19,0.034512511,,,,224384.0,22.686,1.363178177,,23200.0
1341,29.12823584,,73.45987921,17028.0,,,,468.2825,,248.83,,,1.059007526,25674491.48,15.78947368,0.086281277,0.00198756,2000.0,220.0,17.92,2007.6,101.23,1.442473384,1.16854976,1.531203443,,18.59,83.93,0.241587575,56.0,23180.0,9.0,77.91,0.034512511,21571.7749,0.70977202,153.4741819,227243.0,22.583,1.266105964,2.465151594,23200.0
1342,29.5114207,,73.45987921,17028.0,,,,470.2275,,249.9326,,,0.99558772,25934614.37,15.78947368,0.086281277,0.001954536,2000.0,220.0,16.79,1998.2,100.24,1.374026196,1.079946003,1.46925493,,21.47,113.34,0.241587575,56.0,23180.0,8.0,117.9,0.034512511,,,,229947.0,22.472,1.182891808,,23200.0
1343,,,73.45987921,17028.0,,,,466.87,,247.6678,,,1.294240952,35754458.96,15.78947368,0.086281277,0.001922646,2000.0,220.0,16.75,1998.7,123.49,1.32384845,1.020209872,1.42329785,,24.38,126.72,0.242018982,56.1,23180.0,8.0,127.85,0.034512511,,,,232513.0,22.352,1.109728986,,23200.0
1344,33.56940684,,73.45987921,17028.0,,,,466.9575,,247.638,,,1.416710012,41275374.89,15.78947368,0.086281277,0.001891793,2000.0,220.0,16.73,1998.2,137.16,1.276913752,0.966103697,1.380029152,,23.22,131.71,0.243313201,56.4,23180.0,8.0,129.81,0.034512511,,,,234941.0,22.223,1.038828135,,23200.0
